"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units",,,109.47,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units",,,111.84,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units",,,112.73,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units",,,113.79,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units",,,112.59,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units",,,113.49,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units",,,113.22,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units",,,114.73,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-02","Feb-2017","IDX","Index","0","Units",,,114.03,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-03","Mar-2017","IDX","Index","0","Units",,,114.59,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-04","Apr-2017","IDX","Index","0","Units",,,114.6,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-05","May-2017","IDX","Index","0","Units",,,117.59,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-06","Jun-2017","IDX","Index","0","Units",,,117.6,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-07","Jul-2017","IDX","Index","0","Units",,,117.29,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-08","Aug-2017","IDX","Index","0","Units",,,116.79,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-09","Sep-2017","IDX","Index","0","Units",,,117.53,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-10","Oct-2017","IDX","Index","0","Units",,,116.8,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-11","Nov-2017","IDX","Index","0","Units",,,118.33,,
"CAN","Canada","201","Index of industrial production","201803","March 2018","M","Monthly","2017-12","Dec-2017","IDX","Index","0","Units",,,118.22,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-01","Jan-2015","IDX","Index","0","Units",,,113.6,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-02","Feb-2015","IDX","Index","0","Units",,,115.11,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-03","Mar-2015","IDX","Index","0","Units",,,114.71,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-04","Apr-2015","IDX","Index","0","Units",,,116.11,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-05","May-2015","IDX","Index","0","Units",,,115.91,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-06","Jun-2015","IDX","Index","0","Units",,,116.01,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-07","Jul-2015","IDX","Index","0","Units",,,118.01,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units",,,113,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units",,,116.71,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units",,,118.52,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units",,,116.31,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2015-12","Dec-2015","IDX","Index","0","Units",,,115.41,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-01","Jan-2016","IDX","Index","0","Units",,,118.72,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-02","Feb-2016","IDX","Index","0","Units",,,117.91,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-03","Mar-2016","IDX","Index","0","Units",,,120.32,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-04","Apr-2016","IDX","Index","0","Units",,,118.42,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-05","May-2016","IDX","Index","0","Units",,,117.31,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units",,,121.82,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units",,,109.59,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units",,,122.13,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units",,,120.12,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units",,,120.72,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units",,,121.52,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units",,,119.92,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units",,,124.53,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-02","Feb-2017","IDX","Index","0","Units",,,125.23,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-03","Mar-2017","IDX","Index","0","Units",,,124.73,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-04","Apr-2017","IDX","Index","0","Units",,,126.24,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-05","May-2017","IDX","Index","0","Units",,,129.85,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-06","Jun-2017","IDX","Index","0","Units",,,125.43,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-07","Jul-2017","IDX","Index","0","Units",,,114,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-08","Aug-2017","IDX","Index","0","Units",,,129.75,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-09","Sep-2017","IDX","Index","0","Units",,,129.14,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-10","Oct-2017","IDX","Index","0","Units",,,127.14,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-11","Nov-2017","IDX","Index","0","Units",,,131.65,,
"CZE","Czech Republic","201","Index of industrial production","201803","March 2018","M","Monthly","2017-12","Dec-2017","IDX","Index","0","Units",,,129.65,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-01","Jan-2015","IDX","Index","0","Units",,,102.49,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-02","Feb-2015","IDX","Index","0","Units",,,102.39,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-03","Mar-2015","IDX","Index","0","Units",,,106.49,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-04","Apr-2015","IDX","Index","0","Units",,,105.89,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-05","May-2015","IDX","Index","0","Units",,,102.89,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-06","Jun-2015","IDX","Index","0","Units",,,109.19,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-07","Jul-2015","IDX","Index","0","Units",,,103.79,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units",,,107.39,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units",,,104.79,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units",,,102.59,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units",,,100.39,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2015-12","Dec-2015","IDX","Index","0","Units",,,103.19,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-01","Jan-2016","IDX","Index","0","Units",,,107.49,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-02","Feb-2016","IDX","Index","0","Units",,,106.09,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-03","Mar-2016","IDX","Index","0","Units",,,105.29,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-04","Apr-2016","IDX","Index","0","Units",,,107.29,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-05","May-2016","IDX","Index","0","Units",,,106.69,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units",,,106.99,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units",,,110.49,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units",,,108.49,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units",,,100.99,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units",,,111.49,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units",,,112.09,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units",,,112.69,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units",,,108.29,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-02","Feb-2017","IDX","Index","0","Units",,,109.39,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-03","Mar-2017","IDX","Index","0","Units",,,111.79,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-04","Apr-2017","IDX","Index","0","Units",,,109.09,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-05","May-2017","IDX","Index","0","Units",,,111.29,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-06","Jun-2017","IDX","Index","0","Units",,,108.39,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-07","Jul-2017","IDX","Index","0","Units",,,105.99,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-08","Aug-2017","IDX","Index","0","Units",,,109.79,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-09","Sep-2017","IDX","Index","0","Units",,,104.89,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-10","Oct-2017","IDX","Index","0","Units",,,107.09,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-11","Nov-2017","IDX","Index","0","Units",,,108.99,,
"DNK","Denmark","201","Index of industrial production","201803","March 2018","M","Monthly","2017-12","Dec-2017","IDX","Index","0","Units",,,110.29,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-01","Jan-2015","IDX","Index","0","Units",,,93.8,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-02","Feb-2015","IDX","Index","0","Units",,,92.5,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-03","Mar-2015","IDX","Index","0","Units",,,94.2,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-04","Apr-2015","IDX","Index","0","Units",,,93.2,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-05","May-2015","IDX","Index","0","Units",,,92.4,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-06","Jun-2015","IDX","Index","0","Units",,,93.2,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-07","Jul-2015","IDX","Index","0","Units",,,92.7,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units",,,94.5,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units",,,93.8,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units",,,93.2,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units",,,93.4,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2015-12","Dec-2015","IDX","Index","0","Units",,,95.1,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-01","Jan-2016","IDX","Index","0","Units",,,93.1,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-02","Feb-2016","IDX","Index","0","Units",,,95.8,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-03","Mar-2016","IDX","Index","0","Units",,,93.1,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-04","Apr-2016","IDX","Index","0","Units",,,95.4,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-05","May-2016","IDX","Index","0","Units",,,94.8,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units",,,96.4,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units",,,97.1,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units",,,94,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units",,,96.7,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units",,,97.1,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units",,,96.9,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units",,,96.5,,
"FIN","Finland","201","Index of industrial production","201803","March 2018","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units",,,96.9,,
